"","Sample","Passage","Ct","Line","Strain","Species","start","passage","days.on.plate"
"311","FDI6.9",NA,NA,"FDI6","ZF1092","sp.25","1/0/1900 0:00","",0
"312","FDI7.9",NA,NA,"FDI7","JU1428","tropicalis","1/0/1900 0:00","",0
"313","FDI8.9",NA,NA,"FDI8","JU1428","tropicalis","1/0/1900 0:00","",0
"314","FDI9.9",NA,NA,"FDI9","JU1428","tropicalis","1/0/1900 0:00","",0
"315","FDI10.9",NA,NA,"FDI10","JU1428","tropicalis","1/0/1900 0:00","",0
"316","FDI11.9",NA,NA,"FDI11","JU1857","macrosperma","1/0/1900 0:00","",0
"317","FDI12.9",NA,NA,"FDI12","JU1857","macrosperma","1/0/1900 0:00","",0
"318","FDI14.9",NA,NA,"FDI14","JU1857","macrosperma","1/0/1900 0:00","",0
"319","FDI16.9",NA,NA,"FDI16","SB454","sulstoni","1/0/1900 0:00","",0
"320","FDI19.9",NA,NA,"FDI19","JU724","latens","1/0/1900 0:00","",0
"321","FDI20.9",NA,NA,"FDI20","JU724","latens","1/0/1900 0:00","",0
"322","FDI21.9",NA,NA,"FDI21","JU724","latens","1/0/1900 0:00","",0
"323","FDI22.9",NA,NA,"FDI22","JU724","latens","1/0/1900 0:00","",0
"324","FDI23.9",NA,NA,"FDI23","JU4093","sp.65","1/0/1900 0:00","",0
"325","FDI24.9",NA,NA,"FDI24","JU4093","sp.65","1/0/1900 0:00","",0
"326","FDI25.9",NA,NA,"FDI25","JU4093","sp.65","10/28/2022 22:00","",-44862.91667
"327","FDI26.9",NA,NA,"FDI26","JU4093","sp.65","1/0/1900 0:00","",0
"328","FDI27.9",NA,NA,"FDI27","JU1873","wallacei","1/0/1900 0:00","",0
"329","FDI28.9",NA,NA,"FDI28","JU1873","wallacei","1/0/1900 0:00","",0
"330","FDI29.9",NA,NA,"FDI29","JU1873","wallacei","1/0/1900 0:00","",0
"331","FDI30.9",NA,NA,"FDI30","JU1873","wallacei","1/0/1900 0:00","",0
"332","FDI31.9",NA,NA,"FDI31","VX80","latens","1/0/1900 0:00","",0
"333","FDI32.9",NA,NA,"FDI32","VX80","latens","1/0/1900 0:00","",0
"334","FDI33.9",NA,NA,"FDI33","VX80","latens","1/0/1900 0:00","",0
"335","FDI34.9",NA,NA,"FDI34","VX80","latens","1/0/1900 0:00","",0
"336","FDI2.10",NA,NA,"FDI2","JU1580","elegans","1/0/1900 0:00","",0
"337","FDI3.10",NA,NA,"FDI3","ZF1092","sp.25","1/0/1900 0:00","",0
"338","FDI4.10",NA,NA,"FDI4","ZF1092","sp.25","1/0/1900 0:00","",0
