"","Well","Sample","SampleType","Ct","WormNumber","Line","Strain","Species","start","passage","days.on.plate"
"257","A9","FCZ20","strip",Inf,0,"FCZ20","ZF1092","sp.25","6/15/2022 13:45","6/23/2022 8:10",7.767361111
"258","A10","FCZ19","strip",Inf,0,"FCZ19","ZF1092","sp.25","6/15/2022 13:45","6/23/2022 8:10",7.767361111
"259","A11","FCZ19","strip",Inf,3,"FCZ19","ZF1092","sp.25","6/15/2022 13:45","6/23/2022 8:10",7.767361111
"260","A12","FCZ6","strip",Inf,0,"FCZ6","JU1857","macrosperma","6/15/2022 13:45","6/23/2022 8:10",7.767361111
"261","B1","FCZ23","strip",28.9121,3,"FCZ23","VX80","latens","6/15/2022 13:45","6/21/2022 11:45",5.916666667
"262","B2","FCZ26","strip",Inf,1,"FCZ26","VX80","latens","6/15/2022 13:45","6/22/2022 7:00",6.71875
"263","B3","FCZ26","strip",35.3622,3,"FCZ26","VX80","latens","6/15/2022 13:45","6/22/2022 7:00",6.71875
"264","B4","FCZ17","strip",Inf,1,"FCZ17","JU1428","tropicalis","6/15/2022 13:45","6/22/2022 7:00",6.71875
"265","B5","FCZ16","strip",Inf,1,"FCZ16","JU1428","tropicalis","6/15/2022 13:45","6/22/2022 7:00",6.71875
"266","B6","FCZ16","strip",Inf,3,"FCZ16","JU1428","tropicalis","6/15/2022 13:45","6/22/2022 7:00",6.71875
"267","B7","FCZ12","strip",Inf,1,"FCZ12","JU4093","sp.65","6/15/2022 13:45","6/22/2022 7:00",6.71875
